Chef John's Croissants,"I wouldn't describe making homemade croissants as easy since there are multiple steps, and it does take at least half a day. But it's really not that hard either; and certainly simpler than flying to Paris, which is the only other way to enjoy these amazing pastries. This croissant recipe, with a helpful video, was adapted from one by Bruno Albouze, from The Real Deal (which he is).",4,355 mins,true
French Apple Tart (Tarte de Pommes a la Normande),"My mother used to cook this for us all, usually to go with Sunday dinner. I was hooked. Haven't had it in ages and I was wanting to bake something special for a special someone so I asked mum for the recipe. Tried it out today, and it's just as I remember. The thing that makes it for me is the frangipane. Hope you like it as much as me.",2,140 mins,false
Shrimp Scampi with Pasta,Shrimp scampi with pasta is the ultimate seafood pasta dish. Works with any pasta; angel hair is less filling.,5,40 mins,true
Banana Muffins,These delicious banana muffins are quick and easy for kids to make.,5,35 mins,false
Indian Chicken Curry,This Indian-inspired creamy chicken curry recipe is similar to a curry I had in India. The aromatic spices and flavors are a delight to the senses! Delicious with fresh naan and basmati rice.,4,45 mins,false
Coconut Curry Haddock,"Don't you love one-pot recipes? I love making them. As much as I love to cook, not having a big mess makes me very happy. The curry blend smelled so good and the haddock took on the flavors perfectly! Thanks again, City Fish!This is also a 30-minute meal and a paleo dish! Keep it healthy...",5,38 mins,false
Chinese Pepper Steak,"A delicious pepper steak recipe served with boiled white rice — easy and made from items I've already got in my cupboards. My mother clipped this recipe from somewhere and it became a specialty of mine; however, I've been unable to find the original source.",5,30 mins,false
Panang Curry Paste,"This Panang curry paste is worth the effort and sure to please spice lovers! The ingredients in this recipe represent the Indian influences of southern Thailand, utilizing plenty of dry spices. You can use a food processor, but the flavor is much better if you use a mortar and pestle.",5,30 mins,false
Fish Filet in Thai Coconut Curry Sauce,"You can use any type of fish filet for this delicious curry dish like halibut, tilapia, or cod. I have also cooked chicken in the same curry sauce before. Serve with plenty of rice.",5,30 mins,false
Thai Green Curry Chicken,This Thai green curry recipe never fails to please! It is quick and easy to make and the chicken stays moist and tender. Serve over jasmine rice for a satisfying meal.,5,50 mins,false
Spicy Banana Curry,"This banana curry recipe finds its harmony in the way the bold, bursting flavor of curry interacts with the soft sweetness of bananas and smooth yogurt. The amounts of the different spices in the powder mixture are meant to be guidelines — have fun experimenting with your own intuitive combinations. Serve with basmati rice.",4,40 mins,false
Indian Chicken Curry (Murgh Kari),This is a really good recipe for spicy Indian chicken curry. It's pretty easy to make and tastes really good!,5, 1 hrs,false
French Apple Tart (Tarte de Pommes a la Normande),"My mother used to cook this for us all, usually to go with Sunday dinner. I was hooked. Haven't had it in ages and I was wanting to bake something special for a special someone so I asked mum for the recipe. Tried it out today, and it's just as I remember. The thing that makes it for me is the frangipane. Hope you like it as much as me.",5, 1 hrs 40 mins,false
